latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price
40.59313706,-73.79886122,1,1,1,19,330,20
40.59472373,-73.79812483,1,1,1,19,355,30
40.58920724,-73.79479285,2,41,1.92,1,115,150
40.59783491,-73.80157598,1,52,0.94,2,181,92
40.58873196,-73.7957271,1,12,4.24,1,63,56
40.5924984,-73.79882798,1,19,2.27,19,350,30
40.59417067,-73.79788771,1,23,2.68,19,69,25
40.59310987,-73.79770451,1,22,2.57,19,362,30
40.59785632,-73.80013301,1,3,0.45,1,364,42
40.59179251,-73.80101465,1,0,,1,168,100
40.58775741,-73.79308273,2,19,1.78,6,335,95
40.59065487,-73.79563452,2,5,1.21,1,62,150
40.59057683,-73.792475,1,14,1.52,1,362,105
40.59216107,-73.79880349,1,22,2.38,19,358,30
40.59153439,-73.79166459,1,0,,4,170,200
40.59029112,-73.79032206,1,1,0.06,2,365,120
40.58997665,-73.79006969,1,0,,1,365,202
40.5898905,-73.79116707,1,1,0.48,4,166,69
40.59439034,-73.79770434,1,20,2.88,19,362,30
40.59210057,-73.79285266,1,3,1.34,4,166,55
40.59204219,-73.7866504,1,75,1.69,1,357,150
40.58874928,-73.79108851,1,38,2.02,1,201,200
40.59170591,-73.79109797,1,5,0.75,1,89,75
40.58633634,-73.79906049,2,35,1.45,1,248,160
40.59209432,-73.78970233,1,2,0.7,4,364,35
40.59207601,-73.78917051,1,5,1.03,4,364,30
40.59482993,-73.7884039,2,30,1.39,1,108,155
40.59420947,-73.80042763,3,18,2.2,1,63,115
40.59104048,-73.78892079,1,2,0.45,4,364,30
40.58970865,-73.79257383,3,2,0.2,1,0,55
40.76278406,-73.92696418,1,53,2.91,1,36,77
40.76792672,-73.91918124,5,0,,1,46,59
40.76294352,-73.91486362,6,1,0.29,1,89,75
40.77091215,-73.91875273,2,3,0.33,2,64,40
40.76390014,-73.9267634,1,5,0.16,1,0,70
40.76576938,-73.91470582,7,4,0.21,5,335,41
40.7688841,-73.90807302,5,0,,1,0,70
40.7702463,-73.91874951,1,12,0.82,1,117,95
40.76394227,-73.90879994,1,0,,1,0,200
40.76436682,-73.91303969,1,4,0.55,2,261,40
40.76978661,-73.91879034,2,19,0.65,1,313,90
40.76801991,-73.91684906,1,0,,1,0,33
40.7633907,-73.91319341,3,31,1.35,1,365,90
40.76767994,-73.90985598,1,33,2.21,4,327,59
40.76909609,-73.91993776,2,1,0.5,2,82,63
40.76361719,-73.92246219,1,0,,1,325,38
40.76229962,-73.9130399,1,5,0.76,1,307,62
40.75528419,-73.91628425,2,11,1.84,1,309,45
40.77145265,-73.93008381,3,0,,1,268,84
40.76922984,-73.91834928,1,2,0.25,1,0,90
40.76815864,-73.91529886,1,2,0.92,1,0,110
40.75546368,-73.91768332,4,5,0.33,1,0,39
40.76832741,-73.91929717,10,1,0.5,1,37,110
40.76738223,-73.91943294,3,12,5.14,1,253,85
40.76373605,-73.92267996,1,91,5.76,1,289,95
40.76306509,-73.92246842,14,0,,2,0,150
40.76279298,-73.92619511,1,1,0.05,1,0,100
40.75732084,-73.92018627,2,7,2.41,1,296,110
40.76644806,-73.92500618,4,1,0.17,1,90,135
40.76710907,-73.92825195,1,6,0.96,1,9,185
40.7662636,-73.91835432,2,5,0.6,1,58,119
40.75671272,-73.92197563,5,0,,1,0,75
40.76195701,-73.91928216,3,8,0.56,1,0,105
40.76281153,-73.90546025,1,47,3.77,1,287,70
40.76329133,-73.91087695,4,8,0.19,1,342,180
40.76635534,-73.90392707,1,0,,1,0,75
40.75710025,-73.9187654,3,67,2.3,1,341,65
40.75845029,-73.92121437,1,0,,1,159,120
40.75619117,-73.91881397,1,0,,1,0,66
40.76705051,-73.92101207,1,0,,1,90,65
40.76895323,-73.9235998,1,0,,1,0,300
40.77161634,-73.91936824,3,0,,1,364,30
40.76424051,-73.92400978,3,22,2.3,3,334,94
40.76648043,-73.93359167,1,0,,1,364,150
40.75534646,-73.92608535,2,4,0.22,1,0,100
40.75871339,-73.91112482,1,0,,1,0,85
40.75919075,-73.91836343,3,61,1.08,2,341,150
40.75741165,-73.92508513,1,0,,1,0,125
40.76367675,-73.91381798,4,0,,1,365,65
40.75948425,-73.92100186,2,4,0.21,1,320,150
40.76390766,-73.90632984,1,17,2.74,7,354,85
40.76388134,-73.9056302,4,2,2,1,365,41
40.76347754,-73.92695575,4,5,0.15,1,0,75
40.76317153,-73.90348744,25,9,0.31,1,270,105
40.75756333,-73.9065534,2,6,1,1,322,110
40.75748741,-73.91502965,1,6,1.08,1,0,130
40.75880142,-73.91761772,2,1,0.09,1,0,190
40.75750898,-73.91841962,1,1,0.1,3,0,40
40.75816182,-73.91944991,5,0,,1,0,110
40.75710138,-73.91856946,1,24,1.09,1,1,110
40.75714972,-73.91309464,5,5,0.52,1,0,125
40.76364054,-73.92064167,1,2,0.18,1,305,150
40.76000542,-73.91864517,2,3,1.17,1,27,95
40.75651159,-73.91484766,3,0,,1,77,180
40.75600501,-73.91729728,1,4,1.09,2,46,150
40.75485877,-73.91621308,2,6,0.85,1,89,180
40.76436905,-73.91950345,4,2,0.05,1,0,150
40.76349829,-73.92511661,2,2,0.85,2,363,124
40.76449542,-73.923401,3,45,2.51,1,293,186
40.75761944,-73.91439794,2,0,,1,0,280
